,nflId,FirstName,LastName,PositionAbbr,EntryYear,DraftRound,DraftNumber,Height,Weight,College
0,79860,John,Stafford,QB,2009,1.0,1.0,"6'03""",220,Georgia
1,71465,Andre,Smith,T,2009,1.0,6.0,"6'04""",325,Alabama
2,80427,Darrius,Heyward-Bey,WR,2009,1.0,7.0,"6'02""",210,Maryland
3,71269,Michael,Crabtree,WR,2009,1.0,10.0,"6'01""",214,Texas Tech
4,71423,Brian,Orakpo,OLB,2009,1.0,13.0,"6'04""",257,Texas
5,79848,Malcolm,Jenkins,SS,2009,1.0,14.0,"6'00""",204,Ohio State
6,80421,Brian,Cushing,ILB,2009,1.0,15.0,"6'03""",255,Southern California
7,71193,Robert,Ayers,DE,2009,1.0,18.0,"6'03""",275,Tennessee
8,80429,Jeremy,Maclin,WR,2009,1.0,19.0,"6'00""",198,Missouri
9,71375,Alex,Mack,C,2009,1.0,21.0,"6'04""",311,California
10,79901,Vontae,Davis,CB,2009,1.0,25.0,"5'11""",207,Illinois
11,80431,William,Matthews,OLB,2009,1.0,26.0,"6'03""",255,Southern California
12,71523,Eric,Wood,C,2009,1.0,28.0,"6'04""",310,Louisville
13,71217,Kenneth,Britt,WR,2009,1.0,30.0,"6'03""",223,Rutgers
14,2507780,Evander,Hood,NT,2009,1.0,32.0,"6'03""",305,Missouri
15,71251,Patrick,Chung,SS,2009,2.0,34.0,"5'11""",215,Oregon
16,79852,Rey,Maualuga,MLB,2009,2.0,38.0,"6'02""",258,Southern California
17,79897,Darius,Butler,FS,2009,2.0,41.0,"5'10""",192,Connecticut
18,79899,Jairus,Byrd,FS,2009,2.0,42.0,"5'10""",203,Oregon
19,71197,Connor,Barwin,OLB,2009,2.0,46.0,"6'04""",255,Cincinnati
20,238227,Michael,Mitchell,FS,2009,2.0,47.0,"6'01""",221,Ohio
21,71493,Max,Unger,C,2009,2.0,49.0,"6'05""",305,Oregon
22,71363,Andrew,Levitre,G,2009,2.0,51.0,"6'02""",303,Oregon State
23,79607,LeSean,McCoy,RB,2009,2.0,53.0,"5'11""",210,Pittsburgh
24,2507783,Sean,Smith,CB,2009,2.0,61.0,"6'03""",218,Utah
25,2507784,Michael,Johnson,DE,2009,3.0,70.0,"6'07""",272,Georgia Tech
26,79611,Roy,Miller,NT,2009,3.0,81.0,"6'02""",318,Texas
27,81306,Brandon,Tate,WR,2009,3.0,83.0,"6'01""",195,North Carolina
28,2507763,Mike,Wallace,WR,2009,3.0,84.0,"6'00""",200,Mississippi
29,2503471,Adam,Vinatieri,K,1996,,,"6'00""",212,South Dakota State
30,2500351,Philip,Dawson,K,1998,,,"5'11""",200,Texas
31,2505076,Joshua,McCown,QB,2002,3.0,81.0,"6'04""",218,Sam Houston State
32,2504797,Steven,Bryant,K,2002,,,"5'09""",203,Baylor
33,2505010,Julius,Peppers,DE,2002,1.0,2.0,"6'07""",295,North Carolina
34,2504844,James,Harrison,OLB,2002,,,"6'00""",242,Kent State
35,2505245,Carson,Palmer,QB,2003,1.0,1.0,"6'05""",235,Southern California
36,2505552,Terence,Newman,CB,2003,1.0,5.0,"5'10""",197,Kansas State
37,2505660,Terrell,Suggs,OLB,2003,1.0,10.0,"6'03""",265,Arizona State
38,2505629,Christopher,Witten,TE,2003,3.0,69.0,"6'06""",263,Tennessee
39,2505299,Antonio,Gates,TE,2003,,,"6'04""",255,Kent State
40,2505996,Elisha,Manning,QB,2004,1.0,1.0,"6'04""",218,Mississippi
41,2506106,Larry,Fitzgerald,WR,2004,1.0,3.0,"6'03""",218,Pittsburgh
42,2506121,Philip,Rivers,QB,2004,1.0,4.0,"6'05""",228,North Carolina State
43,2506109,Ben,Roethlisberger,QB,2004,1.0,11.0,"6'05""",240,"Miami, O."
